direction,system,METRICX_QE_24_diff,XCOMET_QE_diff
en_nl,canary-v2,-1.7281423024468205,0.11270439594710602
en_nl,desta2-8b,-1.2731944786716172,0.08795968654041664
en_nl,gemma_canary-v2,-2.190485200474985,0.16607563122861357
en_nl,gemma_seamlessm4t,Missing,Missing
en_nl,gemma_whisper,-0.6456538284100768,0.043840954577984315
en_nl,owsm4.0-ctc,-2.4581987947447175,0.10829039289084796
en_nl,phi4multimodal,-2.5519093091836957,0.18874329637391501
en_nl,qwen2audio-7b,-1.7467350602961762,0.11347194537985711
en_nl,seamlessm4t,-3.7813008075856853,0.23795419591936218
en_nl,spirelm,-1.950337862707097,0.1502094609532707
en_nl,voxtral-small-24b,-0.5128261059000767,0.033339172532842354
